task,horizon,gap,feature_set,model_key,model,n_predictions,log_loss_improvement_vs_prior_pct,roc_auc,_source_order,_source_path,log_loss,brier,brier_improvement_vs_prior_pct,balanced_accuracy,rmse,rmse_improvement_vs_zero_pct,mae,mae_improvement_vs_zero_pct,directional_accuracy
classification,1,1,extended,logistic,Tuned Logistic Regression,1260,0.0,0.5094,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,1,1,market,logistic,Tuned Logistic Regression,1260,0.07,0.5094,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,1,1,regime,logistic,Tuned Logistic Regression,1260,-0.01,0.4987,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,5,5,extended,logistic,Tuned Logistic Regression,1260,0.69,0.5624,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,5,5,market,logistic,Tuned Logistic Regression,1260,0.83,0.565,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,5,5,regime,logistic,Tuned Logistic Regression,1260,0.78,0.5553,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,10,10,extended,logistic,Tuned Logistic Regression,1260,1.48,0.5967,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,10,10,market,logistic,Tuned Logistic Regression,1260,1.24,0.5919,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,10,10,regime,logistic,Tuned Logistic Regression,1260,1.29,0.5863,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,20,20,extended,logistic,Tuned Logistic Regression,1260,2.09,0.6057,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,20,20,market,logistic,Tuned Logistic Regression,1260,0.09,0.5757,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,20,20,regime,logistic,Tuned Logistic Regression,1260,0.67,0.5551,2,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_features,,,,,,,,,
classification,1,1,legacy,logistic,Tuned Logistic Regression,1260,0.02,0.4967,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,0.6918,0.2493,0.03,0.4992,,,,,
classification,5,5,legacy,logistic,Tuned Logistic Regression,1260,0.44,0.5577,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,0.6834,0.2451,0.61,0.5046,,,,,
classification,10,10,legacy,logistic,Tuned Logistic Regression,1260,1.86,0.5988,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,0.6646,0.2361,2.46,0.5072,,,,,
classification,20,20,legacy,logistic,Tuned Logistic Regression,1260,2.24,0.628,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,0.6536,0.2307,2.98,0.5082,,,,,
regression,1,1,legacy,ridge,Tuned Ridge,1260,,,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,,,,,0.021698,-1.29,0.015112,-1.12,0.5048
regression,5,5,legacy,ridge,Tuned Ridge,1260,,,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,,,,,0.047776,0.74,0.035842,1.57,0.5532
regression,10,10,legacy,ridge,Tuned Ridge,1260,,,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,,,,,0.069211,1.81,0.052224,3.46,0.5889
regression,20,20,legacy,ridge,Tuned Ridge,1260,,,3,/mnt/data/stock-ml-lab-milestone-10/examples/m9_snapshot/m8_stage_a,,,,,0.096199,4.47,0.072568,6.44,0.6492
