task,horizon,local_model,global_model,fold,ticker,n,local_primary,global_primary,global_improvement_vs_local_pct,test_start,test_end
regression,1,ridge,ridge,1,AAPL,245,0.020730924658285757,0.020769629578484886,-0.1867013692689274,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,BOVA11.SA,244,0.013927709268775535,0.013530492137313756,2.8519918372527937,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,ITUB4.SA,244,0.016724090145882848,0.016637433136274686,0.5181567956896908,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,JPM,245,0.018783191127708248,0.018367273910662486,2.2143054085853193,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,MSFT,245,0.021022452265716106,0.020043396663598567,4.657190273249927,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,NVDA,245,0.040215489367042404,0.04030300620933795,-0.21761973725295708,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,PETR4.SA,244,0.024231321864119346,0.02451353663668418,-1.1646693240566681,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,SPY,245,0.014878065121605593,0.014381770011482142,3.3357503550830843,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,VALE3.SA,244,0.025171648048142477,0.02497844465393768,0.7675436818252113,2021-10-13,2022-10-03
regression,1,ridge,ridge,1,WEGE3.SA,243,0.023074263069922416,0.023100072661776695,-0.11185445782631363,2021-10-13,2022-10-03
regression,1,ridge,ridge,2,AAPL,244,0.017275066358033372,0.017326344735438298,-0.29683461899455615,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,BOVA11.SA,243,0.013228393881839011,0.013012943260603926,1.6286982619324075,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,ITUB4.SA,243,0.01677289881899724,0.016757443577313645,0.09214412994663426,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,JPM,244,0.015241480834512813,0.015009541536616827,1.5217635373774359,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,MSFT,244,0.02001986996098546,0.019561233425053955,2.2909066683514556,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,NVDA,244,0.03566333850029131,0.0356125636456896,0.14237269065905742,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,PETR4.SA,243,0.024746984175853987,0.024650089760890576,0.3915402954754882,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,SPY,244,0.01060270945095138,0.010638173213968826,-0.3344783065262946,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,VALE3.SA,243,0.019853475395901637,0.019799716689188236,0.2707773104778321,2022-10-04,2023-09-22
regression,1,ridge,ridge,2,WEGE3.SA,243,0.01700676737735413,0.017052813167748412,-0.2707498101937728,2022-10-04,2023-09-22
regression,1,ridge,ridge,3,AAPL,245,0.014353725518738461,0.014164946821031282,1.3151895475549729,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,BOVA11.SA,244,0.008620258088382246,0.008599780207378966,0.23755531207214067,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,ITUB4.SA,244,0.011604521717460067,0.011468269846109545,1.1741274191896962,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,JPM,245,0.012356100366440791,0.012285102856686778,0.57459479648484,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,MSFT,245,0.01269720174059204,0.012569401810839279,1.0065204315388254,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,NVDA,245,0.03267869545193583,0.032492644418289224,0.5693343356384949,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,PETR4.SA,244,0.017696328929995914,0.017746774034733945,-0.28505971457460955,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,SPY,245,0.008215836358679559,0.008127389007051681,1.0765471434254954,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,VALE3.SA,243,0.013222383098154914,0.01310350647559924,0.8990559543858809,2023-09-25,2024-09-13
regression,1,ridge,ridge,3,WEGE3.SA,244,0.016558707358698292,0.016468643914155742,0.5439038361604935,2023-09-25,2024-09-13
regression,1,ridge,ridge,4,AAPL,245,0.020605935779282873,0.020550820413365076,0.26747324901017233,2024-09-16,2025-09-08
regression,1,ridge,ridge,4,BOVA11.SA,244,0.010136076721392365,0.010149934787479862,-0.1367202169873988,2024-09-16,2025-09-08
regression,1,ridge,ridge,4,ITUB4.SA,244,0.013395463749083559,0.013410694360716425,-0.11369977119237572,2024-09-16,2025-09-08
regression,1,ridge,ridge,4,JPM,245,0.01736534538391401,0.0172637687571313,0.5849387071609949,2024-09-16,2025-09-08
regression,1,ridge,ridge,4,MSFT,245,0.0157094456889415,0.01558803251226729,0.7728673504990586,2024-09-16,2025-09-08
regression,1,ridge,ridge,4,NVDA,245,0.031064175718477416,0.0311491591562102,-0.27357377354209006,2024-09-16,2025-09-08
regression,1,ridge,ridge,4,PETR4.SA,244,0.01454962710449983,0.01453521505227235,0.0990544439659358,2024-09-16,2025-09-08
regression,1,ridge,ridge,4,SPY,245,0.012018142735083325,0.012264070881217106,-2.0463074166682085,2024-09-16,2025-09-08
