task,horizon,fold,level,rows,assets,local_primary,global_primary,global_improvement_vs_local_pct,global_win
classification,1,1,fold,2444,10,0.706260744774517,0.7012865702160079,0.7042971870250393,True
classification,1,2,fold,2435,10,0.7004962286055364,0.696190240797897,0.6147053519775828,True
classification,1,3,fold,2444,10,0.6929818478017271,0.6909889987735286,0.28757593500034984,True
classification,1,4,fold,2445,10,0.6907680463408354,0.6916378487571072,-0.1259181603548865,False
classification,1,5,fold,2457,10,0.6949053182893111,0.6916010405275926,0.4755004278644494,True
classification,5,1,fold,2439,10,0.7181419746937002,0.7104471932777763,1.0714847045677702,True
classification,5,2,fold,2435,10,0.692094502334521,0.6869968488229862,0.7365545448403035,True
classification,5,3,fold,2444,10,0.680671351148239,0.6740900932580505,0.9668774628293701,True
classification,5,4,fold,2445,10,0.6941772633121464,0.6930304561803816,0.1652037876165731,True
classification,5,5,fold,2457,10,0.6905588561315097,0.6824906854755304,1.1683538027702614,True
classification,10,1,fold,2440,10,0.7518999093424197,0.7300967360626321,2.8997441027564004,True
classification,10,2,fold,2434,10,0.6847941636766177,0.6777345598061546,1.0309088840010752,True
classification,10,3,fold,2444,10,0.6698205641603637,0.6726197084914435,-0.4178946543076869,False
classification,10,4,fold,2450,10,0.6875114436286491,0.6926423787576689,-0.7463054144872029,False
classification,10,5,fold,2452,10,0.7021691146544315,0.6851791440459782,2.4196408320828557,True
classification,20,1,fold,2445,10,0.8129028327678688,0.754667786073387,7.163838572956637,True
classification,20,2,fold,2439,10,0.6737188555416624,0.6707792258859007,0.436328838295367,True
classification,20,3,fold,2439,10,0.6540591419387032,0.65393514979011,0.018957329795227483,True
classification,20,4,fold,2445,10,0.7008535987897696,0.699090305125835,0.251592296448134,True
classification,20,5,fold,2452,10,0.7006461808452492,0.6696078052756701,4.429964284131953,True
regression,1,1,fold,2444,10,0.02300375852975638,0.0228506510893212,0.6655757590096839,True
regression,1,2,fold,2435,10,0.020172007526698194,0.020078062145741645,0.4657215244055895,True
regression,1,3,fold,2444,10,0.01621182813443501,0.01611351944430187,0.6064010136174939,True
regression,1,4,fold,2445,10,0.01796639189310878,0.017970146366976372,-0.020897205682309076,False
regression,1,5,fold,2457,10,0.01687628807995081,0.016713929905044184,0.9620490841200341,True
regression,5,1,fold,2439,10,0.050760453523589384,0.050335714570523736,0.8367516907000517,True
regression,5,2,fold,2435,10,0.043822134454735366,0.043391011854011605,0.9838010085270388,True
regression,5,3,fold,2444,10,0.03633670540467892,0.036268073120569386,0.1888786650996049,True
regression,5,4,fold,2445,10,0.03940065047982662,0.03902441192131826,0.954904434131094,True
regression,5,5,fold,2457,10,0.03842276224331477,0.03786958518024687,1.439711855084412,True
regression,10,1,fold,2440,10,0.07417879089056717,0.07320817174713005,1.308486066952788,True
regression,10,2,fold,2434,10,0.062314071782426456,0.06151283367454323,1.2858060546593708,True
regression,10,3,fold,2444,10,0.05306475570261395,0.053693230337090204,-1.1843541464665497,False
regression,10,4,fold,2450,10,0.05219297208080749,0.051836374480111455,0.6832291522773113,True
regression,10,5,fold,2452,10,0.055297426705597626,0.054603284349487205,1.255288713172894,True
regression,20,1,fold,2445,10,0.10921819498476139,0.10674791551605997,2.2617838255302436,True
regression,20,2,fold,2439,10,0.09197021338576497,0.09082602630496231,1.244084403722561,True
regression,20,3,fold,2439,10,0.07585380474018005,0.07703595387011654,-1.5584572639245564,False
regression,20,4,fold,2445,10,0.071079069474077,0.06939328733417424,2.371699787822305,True
regression,20,5,fold,2452,10,0.07966077131813694,0.07793863987925176,2.1618312381229603,True
