task,horizon,phase,level,rows,assets,local_primary,global_primary,global_improvement_vs_local_pct,global_win
classification,1,0,non_overlapping_phase,12225,10,0.6970770922904705,0.6943364436597733,0.39316291713043505,True
classification,5,0,non_overlapping_phase,2449,10,0.6984469714495204,0.6927923408536786,0.8096005605273782,True
classification,5,1,non_overlapping_phase,2445,10,0.694576881391218,0.689960638496267,0.6646122292041725,True
classification,5,2,non_overlapping_phase,2444,10,0.6912020696590572,0.6885187181845951,0.38821519672035604,True
classification,5,3,non_overlapping_phase,2442,10,0.6948609794308354,0.6880933240502037,0.9739581845817629,True
classification,5,4,non_overlapping_phase,2440,10,0.6964918901163389,0.68760961079417,1.2752882622488595,True
classification,10,0,non_overlapping_phase,1225,10,0.6980233543712107,0.6907722889902417,1.038799824613439,True
classification,10,1,non_overlapping_phase,1225,10,0.6934455857423887,0.6887642447783905,0.6750841104549602,True
classification,10,2,non_overlapping_phase,1225,10,0.6947802021771428,0.6859101624956998,1.2766684562467467,True
classification,10,3,non_overlapping_phase,1225,10,0.6968957774787008,0.690002588948801,0.9891276074076252,True
classification,10,4,non_overlapping_phase,1225,10,0.7003896434151727,0.6911081274512079,1.325193205128967,True
classification,10,5,non_overlapping_phase,1224,10,0.7019876251958161,0.6956049556646164,0.9092282117393861,True
classification,10,6,non_overlapping_phase,1220,10,0.7019169839514985,0.6921330869920113,1.3938823512159495,True
classification,10,7,non_overlapping_phase,1219,10,0.7006307240787703,0.6928100177027575,1.1162379991679423,True
classification,10,8,non_overlapping_phase,1217,10,0.6976144830765072,0.691867754001009,0.8237686021303521,True
classification,10,9,non_overlapping_phase,1215,10,0.7066838237838565,0.6975831116828534,1.2878053515183714,True
classification,20,0,non_overlapping_phase,615,10,0.7166846656652016,0.6924253143737085,3.384940749217296,True
classification,20,1,non_overlapping_phase,615,10,0.7015574198229677,0.6820797264255543,2.7763505661915016,True
classification,20,2,non_overlapping_phase,615,10,0.6935715103906616,0.6782021983375321,2.2159664609742236,True
classification,20,3,non_overlapping_phase,615,10,0.703720502877091,0.6860306356066452,2.513763233858114,True
classification,20,4,non_overlapping_phase,615,10,0.6988686078803414,0.6872767897358442,1.6586548621285335,True
classification,20,5,non_overlapping_phase,614,10,0.707699808291452,0.6838765766723901,3.366290528829808,True
classification,20,6,non_overlapping_phase,610,10,0.7179160292345305,0.6946444162212431,3.2415508312442167,True
classification,20,7,non_overlapping_phase,610,10,0.7133802242157598,0.6982465263093678,2.1214069850378725,True
classification,20,8,non_overlapping_phase,610,10,0.7144311861390162,0.6957816025788764,2.6104100607543885,True
classification,20,9,non_overlapping_phase,610,10,0.7117708524441185,0.6945975366011911,2.412759076036449,True
classification,20,10,non_overlapping_phase,610,10,0.7056009619825949,0.6971806812150664,1.1933488219558643,True
classification,20,11,non_overlapping_phase,610,10,0.7059589633017558,0.6945895267182793,1.6104953934293602,True
classification,20,12,non_overlapping_phase,610,10,0.7031659512137992,0.6920950316865834,1.5744390791541185,True
classification,20,13,non_overlapping_phase,610,10,0.7188945954397008,0.6955942713005835,3.2411321891863754,True
classification,20,14,non_overlapping_phase,610,10,0.7113348107258074,0.6857671604506005,3.5943201274121632,True
classification,20,15,non_overlapping_phase,610,10,0.7127275136733097,0.6917469892346119,2.943695035788189,True
classification,20,16,non_overlapping_phase,610,10,0.7060391683045665,0.6827674543305763,3.296093902250958,True
classification,20,17,non_overlapping_phase,609,10,0.7048334314591551,0.6851487208046074,2.792817391450367,True
classification,20,18,non_overlapping_phase,607,10,0.707103409380802,0.6841707301977095,3.243186057209686,True
classification,20,19,non_overlapping_phase,605,10,0.7145196921468399,0.6905982857942984,3.347900221009643,True
regression,1,0,non_overlapping_phase,12225,10,0.019004821286822855,0.01890296529813036,0.535948153130577,True
regression,5,0,non_overlapping_phase,2449,10,0.04154027335668241,0.04113551019796918,0.9743873258554593,True
regression,5,1,non_overlapping_phase,2445,10,0.04163069952999971,0.04115879294247578,1.1335543069216754,True
regression,5,2,non_overlapping_phase,2444,10,0.04202466823608451,0.04178849463682757,0.561988016015185,True
regression,5,3,non_overlapping_phase,2442,10,0.042217954330660425,0.04183279295825666,0.9123165215137921,True
regression,5,4,non_overlapping_phase,2440,10,0.04284050725787997,0.04245906629138352,0.8903745331500198,True
regression,10,0,non_overlapping_phase,1225,10,0.06109830902846481,0.060669105166397196,0.7024807542016506,True
regression,10,1,non_overlapping_phase,1225,10,0.059264732053048184,0.05878078390795494,0.8165870802555274,True
regression,10,2,non_overlapping_phase,1225,10,0.060631266575203985,0.06047350124929913,0.26020456905542566,True
regression,10,3,non_overlapping_phase,1225,10,0.06141696570138719,0.06086134636824574,0.9046675080675564,True
regression,10,4,non_overlapping_phase,1225,10,0.058518176627655315,0.05800596164198938,0.8753092033695821,True
regression,10,5,non_overlapping_phase,1224,10,0.05747657243363396,0.05692772608454867,0.9549044521035408,True
regression,10,6,non_overlapping_phase,1220,10,0.05965395386465783,0.05909200532245823,0.9420139082055473,True
regression,10,7,non_overlapping_phase,1219,10,0.05929329430923425,0.058741912590403726,0.9299225574394423,True
regression,10,8,non_overlapping_phase,1217,10,0.060133099875150926,0.059568132916996974,0.9395274138984077,True
regression,10,9,non_overlapping_phase,1215,10,0.061966780243006996,0.06149442181701979,0.7622768588828028,True
regression,20,0,non_overlapping_phase,615,10,0.08684887216991469,0.08521776526107012,1.8780979742067323,True
regression,20,1,non_overlapping_phase,615,10,0.08729121939979724,0.08585668314011248,1.6433912477663155,True
regression,20,2,non_overlapping_phase,615,10,0.08782973551012069,0.08639310564113681,1.635698730777045,True
regression,20,3,non_overlapping_phase,615,10,0.0873627758764514,0.08606680905849792,1.4834313641615933,True
regression,20,4,non_overlapping_phase,615,10,0.08317968441499998,0.08191271467732049,1.5231720901444272,True
regression,20,5,non_overlapping_phase,614,10,0.0822934424861146,0.0807155062699152,1.917450733046747,True
regression,20,6,non_overlapping_phase,610,10,0.08607579556637765,0.08436143457299024,1.9916876540111403,True
regression,20,7,non_overlapping_phase,610,10,0.08344861038983514,0.0820736283551446,1.6476991387480613,True
regression,20,8,non_overlapping_phase,610,10,0.08485064556507807,0.08366977014582963,1.3917105890994559,True
regression,20,9,non_overlapping_phase,610,10,0.08715501355037882,0.08649316420386148,0.7593933149178634,True
regression,20,10,non_overlapping_phase,610,10,0.08794725034664919,0.0872595125646624,0.7819889527825262,True
regression,20,11,non_overlapping_phase,610,10,0.08903952030797965,0.08799534512795985,1.1727097994329838,True
regression,20,12,non_overlapping_phase,610,10,0.08943143462069539,0.08893509435905078,0.5549953031053672,True
regression,20,13,non_overlapping_phase,610,10,0.08703699019107193,0.08607683334112849,1.1031595277313824,True
regression,20,14,non_overlapping_phase,610,10,0.08512114032134427,0.0840850392977162,1.2172076404482393,True
regression,20,15,non_overlapping_phase,610,10,0.08372955691089987,0.0822775693367101,1.7341398041015408,True
