task,horizon,ticker,region,n,primary_metric,local_primary,global_primary,global_improvement_vs_local_pct,global_win,asset_hac_statistic,asset_hac_pvalue_global_better,hac_lags,asset_hac_qvalue_within_task
classification,5,ABEV3.SA,Brazil,1219,log_loss,0.6984614479400261,0.7113694435246004,-1.848061281355459,False,-1.158423896687224,0.8766544540620043,4,0.9514972516497713
classification,5,AMZN,United States,1226,log_loss,0.7017400925461507,0.6973273546308726,0.6288279609715854,True,0.7509178424348549,0.2263510508131128,4,0.4527021016262256
classification,5,AXIA3.SA,Brazil,1218,log_loss,0.68942816239471,0.700232613782374,-1.5671613051220565,False,-1.6595476027732603,0.9514972516497712,4,0.9514972516497713
classification,5,BBAS3.SA,Brazil,1216,log_loss,0.7036798848962689,0.7029015662833604,0.11060691510645924,True,0.13025078273023083,0.4481840089717287,4,0.6402628699596125
classification,5,GOOGL,United States,1226,log_loss,0.7036710779716013,0.6940135381637513,1.3724508666305821,True,1.9409843725849765,0.026130086461698898,4,0.1306504323084945
classification,5,META,United States,1226,log_loss,0.7178230153248436,0.6914877075422874,3.668774505737802,True,2.553472695293218,0.005332732035719823,4,0.05332732035719823
classification,5,RENT3.SA,Brazil,1219,log_loss,0.7006009691656565,0.6985429445318698,0.29375132555662553,True,0.3729551640330444,0.3545909070778832,4,0.5909848451298053
classification,5,SUZB3.SA,Brazil,1219,log_loss,0.6972286078800224,0.7101862880753158,-1.8584550388275447,False,-1.6347446544531627,0.9489487063610493,4,0.9514972516497713
classification,5,UNH,United States,1226,log_loss,0.7083393333216336,0.6953945669747246,1.827480945637563,True,1.2722654713572832,0.10163940616601685,4,0.25409851541504214
classification,5,XOM,United States,1226,log_loss,0.6952724647013733,0.6863306824447455,1.2860831847365581,True,1.585066600174191,0.056475601596846614,4,0.18825200532282205
regression,5,ABEV3.SA,Brazil,1219,rmse,0.03446255013954746,0.034442527303243424,0.05810027471257059,True,0.0646283512083084,0.4742349554460633,4,0.5269277282734036
regression,5,AMZN,United States,1226,rmse,0.051953082828649855,0.05208034215678625,-0.24495048456724047,False,-0.2963577511640002,0.616521556737086,4,0.616521556737086
regression,5,AXIA3.SA,Brazil,1218,rmse,0.043155404072223603,0.042864099140609416,0.6750137969434105,True,0.8527871154106819,0.19688868518037927,4,0.2461108564754741
regression,5,BBAS3.SA,Brazil,1216,rmse,0.04090942371264511,0.04033811467760282,1.3965218357884024,True,2.805432018306388,0.0025124589938514408,4,0.012562294969257204
regression,5,GOOGL,United States,1226,rmse,0.04516934883509613,0.04469953228112913,1.0401224858968066,True,1.5249276986005196,0.06363856615272434,4,0.09091223736103478
regression,5,META,United States,1226,rmse,0.06353104733855294,0.06184148249175074,2.6594317543651025,True,2.9813287844281433,0.0014350024065714617,4,0.012562294969257204
regression,5,RENT3.SA,Brazil,1219,rmse,0.05268034918146919,0.051412572690038426,2.4065453459004686,True,2.281792623750913,0.01125079324226852,4,0.03750264414089507
regression,5,SUZB3.SA,Brazil,1219,rmse,0.04058594441699888,0.039866107146027494,1.7736122229297957,True,2.016348694369899,0.021881763195570336,4,0.04376352639114067
regression,5,UNH,United States,1226,rmse,0.05015368256364662,0.048063761569149356,4.167033979698476,True,1.6638393301911363,0.04807227095144628,4,0.08012045158574381
regression,5,XOM,United States,1226,rmse,0.03800391454106466,0.03753230860299343,1.2409404235493606,True,2.0713412524544097,0.0191634583712732,4,0.04376352639114067
