task,horizon,phase,level,rows,assets,local_primary,global_primary,global_improvement_vs_local_pct,global_win
classification,5,0,non_overlapping_phase,2450,10,0.6996012108975171,0.6960391105647005,0.5091615447959079,True
classification,5,1,non_overlapping_phase,2444,10,0.7033453522326297,0.698417312587427,0.7006571706999469,True
classification,5,2,non_overlapping_phase,2444,10,0.7035597116914873,0.7012314888199028,0.3309204368719523,True
classification,5,3,non_overlapping_phase,2443,10,0.7017711221838134,0.700259139341675,0.2154524166559181,True
classification,5,4,non_overlapping_phase,2440,10,0.699903435689716,0.6978624447781665,0.29161035758286274,True
regression,5,0,non_overlapping_phase,2450,10,0.04594513662354816,0.04498861067852423,2.0818872579729963,True
regression,5,1,non_overlapping_phase,2444,10,0.046205427168836175,0.04544436918193059,1.6471181710422376,True
regression,5,2,non_overlapping_phase,2444,10,0.04746256038604898,0.04675786996897906,1.4847290397697466,True
regression,5,3,non_overlapping_phase,2443,10,0.04737552443296331,0.04655300516206028,1.7361692155342792,True
regression,5,4,non_overlapping_phase,2440,10,0.04694450750483641,0.046169488535524474,1.6509257642805029,True
