task,fold,scope,ticker,train_rows,train_assets,max_target_end_date,test_start,purge_valid,confirmation_rows_in_fit
regression,1,global,__POOLED__,9129,10,2021-10-06,2021-10-07,True,0
regression,1,local,BBAS3.SA,907,1,2021-10-06,2021-10-07,True,907
regression,1,local,ABEV3.SA,907,1,2021-10-06,2021-10-07,True,907
regression,1,local,AXIA3.SA,907,1,2021-10-06,2021-10-07,True,907
regression,1,local,SUZB3.SA,907,1,2021-10-06,2021-10-07,True,907
regression,1,local,RENT3.SA,907,1,2021-10-06,2021-10-07,True,907
regression,1,local,GOOGL,923,1,2021-10-06,2021-10-07,True,923
regression,1,local,AMZN,923,1,2021-10-06,2021-10-07,True,923
regression,1,local,META,923,1,2021-10-06,2021-10-07,True,923
regression,1,local,XOM,923,1,2021-10-06,2021-10-07,True,923
regression,1,local,UNH,923,1,2021-10-06,2021-10-07,True,923
regression,2,global,__POOLED__,11569,10,2022-09-27,2022-09-28,True,0
regression,2,local,BBAS3.SA,1149,1,2022-09-27,2022-09-28,True,1149
regression,2,local,ABEV3.SA,1150,1,2022-09-27,2022-09-28,True,1150
regression,2,local,AXIA3.SA,1149,1,2022-09-27,2022-09-28,True,1149
regression,2,local,SUZB3.SA,1150,1,2022-09-27,2022-09-28,True,1150
regression,2,local,RENT3.SA,1150,1,2022-09-27,2022-09-28,True,1150
regression,2,local,GOOGL,1168,1,2022-09-27,2022-09-28,True,1168
regression,2,local,AMZN,1168,1,2022-09-27,2022-09-28,True,1168
regression,2,local,META,1168,1,2022-09-27,2022-09-28,True,1168
regression,2,local,XOM,1168,1,2022-09-27,2022-09-28,True,1168
regression,2,local,UNH,1168,1,2022-09-27,2022-09-28,True,1168
regression,3,global,__POOLED__,14003,10,2023-09-18,2023-09-19,True,0
regression,3,local,BBAS3.SA,1391,1,2023-09-18,2023-09-19,True,1391
regression,3,local,ABEV3.SA,1393,1,2023-09-18,2023-09-19,True,1393
regression,3,local,AXIA3.SA,1392,1,2023-09-18,2023-09-19,True,1392
regression,3,local,SUZB3.SA,1393,1,2023-09-18,2023-09-19,True,1393
regression,3,local,RENT3.SA,1393,1,2023-09-18,2023-09-19,True,1393
regression,3,local,GOOGL,1412,1,2023-09-18,2023-09-19,True,1412
