ticker,task,horizon,feature_set,model_key,model,primary_improvement_pct,primary_hac_p_model_better,primary_hac_q_fdr,primary_bootstrap_lower_pct,primary_bootstrap_upper_pct,phase_win_rate,phase_primary_median,roc_auc,primary_hac_fdr_significant_05,primary_bootstrap_positive_95,directional_accuracy
AAPL,classification,10,legacy,logistic,Tuned Logistic Regression,-1.01,0.912,0.9952,-2.59,0.5699999999999998,0.0,-1.1,0.483,False,False,
BOVA11.SA,classification,10,legacy,logistic,Tuned Logistic Regression,0.33,0.1823,0.6847,-0.45,1.11,0.9,0.34,0.495,False,False,
ITUB4.SA,classification,10,legacy,logistic,Tuned Logistic Regression,0.05,0.2952,0.6847,-0.14,0.55,0.7,0.04,0.508,False,False,
JPM,classification,10,legacy,logistic,Tuned Logistic Regression,0.16,0.3043,0.6847,-0.52,0.8400000000000001,0.6,0.27,0.524,False,False,
MSFT,classification,10,legacy,logistic,Tuned Logistic Regression,-1.35,0.9952,0.9952,-2.57,-0.13000000000000034,0.0,-1.46,0.461,False,False,
NVDA,classification,10,legacy,logistic,Tuned Logistic Regression,-0.03,0.5763,0.8644,-0.37,0.47,0.3,-0.07,0.431,False,False,
SPY,classification,10,legacy,logistic,Tuned Logistic Regression,-0.65,0.8078,0.9952,-2.16,0.8600000000000002,0.2,-0.3,0.492,False,False,
VALE3.SA,classification,10,legacy,logistic,Tuned Logistic Regression,0.59,0.2132,0.6847,-0.82,2.0,0.7,0.36,0.5,False,False,
WEGE3.SA,classification,10,legacy,logistic,Tuned Logistic Regression,0.02,0.3999,0.7198,-0.11,0.52,0.6,0.05,0.459,False,False,
AAPL,classification,20,legacy,logistic,Tuned Logistic Regression,-0.06,0.5388,0.983,-1.16,1.0399999999999998,0.5,-0.14,0.461,False,False,
BOVA11.SA,classification,20,legacy,logistic,Tuned Logistic Regression,-0.4,0.9449,0.983,-0.89,0.09999999999999998,0.1,-0.42,0.425,False,False,
ITUB4.SA,classification,20,legacy,logistic,Tuned Logistic Regression,-0.14,0.6505,0.983,-0.89,0.61,0.35,-0.16,0.556,False,False,
JPM,classification,20,legacy,logistic,Tuned Logistic Regression,0.03,0.4345,0.983,-0.4,0.53,0.45,-0.05,0.445,False,False,
MSFT,classification,20,legacy,logistic,Tuned Logistic Regression,-3.07,0.9781,0.983,-6.11,-0.02999999999999936,0.0,-3.07,0.459,False,False,
NVDA,classification,20,legacy,logistic,Tuned Logistic Regression,-0.34,0.7796,0.983,-1.18,0.49999999999999983,0.3,-0.37,0.416,False,False,
SPY,classification,20,legacy,logistic,Tuned Logistic Regression,-1.75,0.983,0.983,-3.37,-0.1299999999999999,0.05,-1.66,0.39,False,False,
VALE3.SA,classification,20,legacy,logistic,Tuned Logistic Regression,-0.4,0.5647,0.983,-5.58,4.779999999999999,0.45,-0.34,0.522,False,False,
WEGE3.SA,classification,20,legacy,logistic,Tuned Logistic Regression,-0.3,0.9495,0.983,-0.68,0.2,0.0,-0.29,0.449,False,False,
AAPL,regression,10,legacy,ridge,Tuned Ridge,-1.85,0.8188,0.9249,-5.7,2.0,0.0,-1.83,,False,False,0.5587
BOVA11.SA,regression,10,legacy,ridge,Tuned Ridge,-1.21,0.875,0.9249,-3.44,1.02,0.0,-1.16,,False,False,0.5
ITUB4.SA,regression,10,legacy,ridge,Tuned Ridge,-0.57,0.6953,0.9249,-3.17,2.0300000000000002,0.3,-0.34,,False,False,0.5294
JPM,regression,10,legacy,ridge,Tuned Ridge,1.36,0.1014,0.5469,-0.59,3.3100000000000005,1.0,1.41,,False,False,0.5579
MSFT,regression,10,legacy,ridge,Tuned Ridge,-1.13,0.6878,0.9249,-6.23,3.9700000000000006,0.1,-1.34,,False,False,0.5659
NVDA,regression,10,legacy,ridge,Tuned Ridge,1.64,0.1215,0.5469,-1.56,4.84,1.0,1.57,,False,False,0.5873
SPY,regression,10,legacy,ridge,Tuned Ridge,-0.61,0.6107,0.9249,-4.74,3.52,0.3,-0.61,,False,False,0.5889
VALE3.SA,regression,10,legacy,ridge,Tuned Ridge,0.19,0.4316,0.9249,-2.09,2.4699999999999998,0.7,0.23,,False,False,0.5587
WEGE3.SA,regression,10,legacy,ridge,Tuned Ridge,-3.36,0.9249,0.9249,-9.03,2.31,0.0,-3.58,,False,False,0.5302
AAPL,regression,20,legacy,ridge,Tuned Ridge,-1.07,0.6071,0.776,-8.44,6.299999999999999,0.05,-1.22,,False,False,0.6103
BOVA11.SA,regression,20,legacy,ridge,Tuned Ridge,-0.11,0.5337,0.776,-2.78,2.56,0.45,-0.12,,False,False,0.5024
ITUB4.SA,regression,20,legacy,ridge,Tuned Ridge,-0.45,0.6898,0.776,-2.22,1.3200000000000003,0.4,-0.24,,False,False,0.5508
JPM,regression,20,legacy,ridge,Tuned Ridge,2.67,0.0703,0.6284,-0.76,6.1,1.0,2.56,,False,False,0.5817
MSFT,regression,20,legacy,ridge,Tuned Ridge,-1.37,0.6136,0.776,-11.7,8.959999999999997,0.25,-1.58,,False,False,0.5643
NVDA,regression,20,legacy,ridge,Tuned Ridge,2.94,0.1396,0.6284,-3.21,9.09,1.0,2.89,,False,False,0.631
SPY,regression,20,legacy,ridge,Tuned Ridge,0.43,0.4626,0.776,-8.13,8.99,0.5,0.08,,False,False,0.65
VALE3.SA,regression,20,legacy,ridge,Tuned Ridge,0.76,0.3375,0.776,-2.63,4.1499999999999995,0.85,0.79,,False,False,0.5397
WEGE3.SA,regression,20,legacy,ridge,Tuned Ridge,-8.2,0.9456,0.9456,-18.19,1.7900000000000027,0.0,-8.09,,False,False,0.5286
